'da	d a
dengngeg	d ɛ ŋ ŋ ɯ ɡ
dengngeg	d ɯ ŋ ŋ ɯ ɡ
deppa	d ɛ p p a
deppa	d ɯ p p a
diding	d i d i ŋ
dies	d i j e s
dies	d j e s
digo	d i ɡ o
digos	d i ɡ o s
digra	d i ɡ ɾ a
digus	d i ɡ u s
diksionario	d i k s j o n a ɾ j o
dinengdeng	d i n e ŋ d e ŋ
dinengdeng	d i n ɯ ŋ d e ŋ
disinuebe	d i s i n w e b e
disiotso	d i s i ʔ o t͡ʃ o
disisais	d i s i s a ʔ i s
disisiete	d i s i s i j e t e
disisiete	d i s i s j e t e
disnugen	d i s n u ɡ e n
disnugen	d i s n u ɡ ɯ n
distansia	d i s t a n s j a
dominggo	d o m i ŋ ɡ o
dre	d ɾ e
dua	d w a
duapulo	d w a p u l o
dudon	d u d o n
duggong	d u ɡ ɡ o ŋ
dugudog	d u ɡ u d o ɡ
dugyot	d u ɡ j o t
dundon	d u n d o n
duol	d u ʔ o l
duyan	d u j a n
ebolusion	ʔ e b o l u s j o n
edukasion	ʔ e d u k a s i j o n
edukasion	ʔ e d u k a s j o n
eleksion	ʔ ɛ l ɛ k s j o n
eramienta	ʔ e ɾ a m j e n t a
eropuerto	ʔ e ɾ o p w e ɾ t o
eskoba	ʔ ɛ s k o b a
essem	ʔ ɛ s s ɛ m
essem	ʔ ɯ s s ɯ m
estimar	ʔ e s t i m a ɾ
gabay	ɡ a b a j
gaddil	ɢ a d d i l
gadia	ɡ a d j a
galod	ɡ a l o d
gamed	ɡ a m e d
gamed	ɡ a m ɯ d
garami	ɡ a ɾ a m i
garud	ɡ a ɾ u d
gasut	ɡ a s u t
gayaman	ɡ a j a m a n
gayyem	ɡ a j j e m
gayyem	ɡ a j j ɯ m
gimong	ɡ i m o ŋ
gingined	ɡ i ŋ i n e d
gingined	ɡ i ŋ i n ɯ d
grasia	ɡ ɾ a s j a
gurigor	ɡ u ɾ i ɡ o ɾ
ha'n	h a n
haan	h a ʔ a n
ida	i d a
idiay	ʔ i d d j a j
idiay	ʔ i d i j a j
idiay	ʔ i d j a j
iha	ʔ i h a
ijy	ʔ i d͡ʒ a j
ikan	ʔ i k a n
ili	ʔ i l i
immuko	ʔ i m m u k o
impierno	ʔ i m p j e ɾ n o
inapoy	ʔ i n a p o j
innem	ʔ i n n e m
inumen	ʔ i n u m e n
inumen	ʔ i n u m ɯ n
ipes	ʔ i p e s
ipes	ʔ i p ɯ s
isbo	i s b ɔ
isem	ʔ i s e m
isem	ʔ i s ɯ m
istoria	ʔ i s t o ɾ j a
isu	i s u
isuda	i s u d a
isuna	i s u n a
jy	d͡ʒ a j
kaamaan	k a a m a a n
kaano	k a a n o
kaasiannakami	k a s j a n n a k a m i
kaasiannakami	k a ʃ a n n a k a m i
kabalio	k a b a l j o
kabos	k a b o s
kabugaw	k a b u ɡ a u
kabus	k a b u s
kabusor	k a b u s u ɾ
kadakami	k a d a k a m i
kadakayo	k a d a k a j o
kadakuada	k a d a k u a d a
kadata	k a d a t a
kadatayo	k a d a t a j o
kaeg	k a ʔ ɛ ɡ
kaeg	k a ʔ ɯ ɡ
kalamansi	k a l a m a n s i
kalding	k a l d i ŋ
kalendario	k a l e n d a ɾ j o
kampilan	k a m p i l a n
kanawan	k a n a w a n
kaniada	k a n i a d a
kaniak	k a n i a k
kaniam	k a n i a m
kaniami	k a n i a m i
kaniana	k a n i a n a
kaniata	k a n i a t a
kaniatayo	k a n i a t a j o
kaniayo	k a n i a j o
kanigid	k a n i ɡ i d
kantaen	k a n t a e n
kantaen	k a n t a ɯ n
kanyayo	k a n j a j o
kapas	k a p a s
kapilia	k a p i l j a
karabukob	k a ɾ a b u k o b
kararag	k a ɾ a ɾ a ɡ
kararua	k a ɾ a ɾ w a
kararwa	k a ɾ a ɾ w a
karerakit	k a ɾ e ɾ a k i t
kasinsin	k a s i n s i n
kaspagarigan	k a s p a ɡ a ɾ i ɡ a n
kawes	k a w e s
kenka	k ɛ n k a
kenka	k ɛ ŋ k a
kenka	k ɯ n k a
kenka	k ɯ ŋ k a
kenkuana	k ɛ n k u a n a
kenkuana	k ɯ n k u a n a
koleksion	k o l e k s i j o n
koleksion	k o l e k s j o n
komedia	k o m e d j a
komediante	k o m e d j a n t e
komunikasion	k o m u n i k a s i j o n
komunikasion	k o m u n i k a s j o n
konsiensia	k o n s j e n s j a
koriente	k o ɾ j e n t e
kua	k u a
kuak	k u a k
kuarta	k w a ɾ t a
kuarto	k w a ɾ t o
kuatro	k w a t ɾ o
kueba	k w e b a
kukua	k u k u a
kukuada	k u k u a d a
kukuak	k u k u a k
kukuam	k u k u a m
kukuami	k u k u a m i
kukuana	k u k u a n a
kukuata	k u k u a t a
kukuatayo	k u k u a t a j o
kukuayo	k u k u a j o
kulalanti	k u l a l a n t i
kulambo	k u l a m b o
kuneng	k u n e ŋ
kutsarita	k u t͡s a ɾ i t a
kutsarita	k u t͡ʃ a ɾ i t a
kutsilio	k u t͡ʃ i l j o
ladingit	l a d i ŋ i t
lagay	l a ɡ a i
lako	l a k o
landok	l a n d o k
lansangan	l a n s a ŋ a n
lapayag	l a p a j a ɡ
lasona	l a s o n a
laud	l a ʔ u d
laya	l a j a
letsuga	l e t͡ʃ u ɡ a
libreria	l i b ɾ e ɾ j a
lihia	l i h i a
limus	l i m u s
lona	l o n a
lubung	l u b u ŋ
lugan	l u ɡ a n
madaddan	m a d a d d a n
makataktakki	m a k a t a k t a k k i
makita	m a k i t a
mamam	m a m a m
mangan	m a ŋ a n
mannanakaw	m a n n a n a k a w
manta	m a n t a
maysa	m a j s a
met	m e t
met	m ɯ t
mil	m i l
mt	m e t
munisipio	m u n i s i p j o
naalsem	n a ʔ a l s ɛ m
naalsem	n a ʔ a l s ɯ m
nabaaw	n a b a ʔ a u
nabanglo	n a b a ŋ l o
nabartek	n a b a ɾ t ɛ k
nabartek	n a b a ɾ t ɯ k
nabasa	n a b a s a
nadagsen	n a d a ɡ s e n
nadagsen	n a d a ɡ s ɯ n
nadalus	n a d a l u s
nagan	n a ɡ a n
naid	n a i d
naimas	n a ʔ i m a s
namaga	n a m a ɡ a
namayat	n a m a j a t
nana	n a n a
nanang	n a n a ŋ
napintas	n a p i n t a s
napudot	n a p u d o t
naruot	n a ɾ u ʔ o t
nasadut	n a s a d u t
natakrot	n a t a k ɾ o t
naulep	n a ʔ u l e p
naulep	n a ʔ u l ɯ p
nepo	n e p o
nga'd	ŋ a d
ngalod	ŋ a l o d
ngarod	ŋ a ɾ o d
ngarud	ŋ a ɾ u d
ngay	ŋ a j
ngipen	ŋ i p e n
ngipen	ŋ i p ɯ n
niaeta	n j a e t a
niog	n j o ɡ
nuang	n w a ŋ
nuebe	n w e b e
nyaeta	n j a e t a
paet	p a ɯ t
paet	p a ʔ e t
pagtayaban	p a ɡ t a j a b a n
pakasaritaan	p a k a s a ɾ i t a a n
pakdaar	p a k d a ʔ a ɾ
palakol	p a l a k o l
palasio	p a l a s j o
palayaw	p a l a j a w
paltog	p a l t o ɡ
pamilia	p a m i l j a
panaplak	p a n a p l a k
pandemia	p a n d e m j a
pangnagan	p a ŋ n a ɡ a n
panio	p a n j o
panniki	p a n n i k i
parit	p a ɾ i t
parsua	p a ɾ s w a
pateg	p a t e ɡ
pateg	p a t ɯ ɡ
paway	p a w a j
pay	p a j
periodiko	p e ɾ j o d i k o
perres	p ɛ r r ɛ s
perres	p ɯ r r ɯ s
persen	p e r s e n
persen	p ɯ r s ɯ n
pinggol	p i ŋ ɡ o l
pinikpikan	p i n i k p i k a n
pintas	p i n t a s
presio	p ɾ e s i j o
presio	p ɾ e s j o
probinsia	p ɾ o b i n s j a
pudot	p u d o t
puente	p w e n t e
puerto	p w e ɾ t o
pukis	p u k i s
pusa	p u s a
puso	p u s u
puspuso	p u s p u s o
puspuso	p u s p u s u
puyupoy	p u j u p o j
py	p a j
rabii	ɾ a b i i
radio	ɾ a d j o
ragsak	ɾ a ɡ s a k
rosario	ɾ o s a ɾ j o
ruot	ɾ u ʔ o t
saan	s a a n
saba	s a b a
sabangan	s a b a ŋ a n
sadut	s a d u t
sagana	s a ɡ a n a
saiddek	s a i d d ɯ k
saiddek	s a j d d e k
saklolo	s a k l o l o
salomagi	s a l o m a ɡ i
sandalia	s a n d a l j a
sandia	s a n d i a
sandinagan	s a n d i n a ɡ a n
sangapulo	s a ŋ a p u l o
sangit	s a ŋ i t
sarming	s a ɾ m i ŋ
selio	s e l j o
sementerio	s e m e n t e ɾ j o
shet	ʃ e t
siak	s i a k
siak	s i j a k
siam	s i j a m
siam	s j a m
sibuyas	s e b u j a s
siete	s i j e t e
siete	s j e t e
sigarilio	s i ɡ a ɾ i l j o
sika	s i k a
sikami	s i k a m i
sikayo	s i k a j o
silindro	s i l i n d ɾ o
simbaan	s i m b a a n
sinonimo	s i n o n i m o
sita	s i t a
sitayo	s i t a j o
sitio	s i t j o
siudad	s j u d a d
tabbed	t a b b e d
tabbed	t a b b ɯ d
takki	t a k k i
takrot	t a k ɾ o t
tallo	t a l l o
talna	t a l n a
taraki	t a ɾ a k i
taraok	t a ɾ a ʔ o k
tawen	t a w e n
tawen	t a w ɯ n
teknolohia	t e k n o l o h j a
telebision	t e l e b i s j o n
teltel	t e l t e l
templa	t e m p l a
tia	t i j a
tinidor	t e n e d o ɾ
tio	t i j o
toy	t o j
tradision	t ɾ a d i s i j o n
tradision	t ɾ a d i s j o n
trahedia	t ɾ a h e d i j a
trahedia	t ɾ a h e d j a
tualia	t w a l j a
tugaw	t u ɡ a u
tukod	t u k o d
tulad	t u l a d
tulang	t u l a ŋ
tuloy	t u l o j
tumakder	t u m a k d e ɾ
tumakder	t u m a k d ɯ ɾ
tumakder	t u m a ɡ d e ɾ
tumakder	t u m a ɡ d ɯ ɾ
tumulong	t u m u l o ŋ
tungaw	t u ŋ a u
uging	ʔ u ɡ i ŋ
uken	ʔ u k e n
ukina	ʔ u k i n n a
ukinna	ʔ u k i n n a
ukis	ʔ u k i s
ukom	ʔ u k o m
uleg	ʔ u l ɛ ɡ
uleg	ʔ u l ɯ ɡ
ulep	ʔ u l e p
ulep	ʔ u l ɯ p
uliteg	ʔ u l i t e ɡ
umisem	ʔ u m i s e m
umisem	ʔ u m i s ɯ m
uong	ʔ u o ŋ
uppat	ʔ u p p a t
uray	ʔ u ɾ a j
uyek	ʔ u j e k
uyek	ʔ u j ɯ k
uyokan	ʔ u j o k a n
wak	w a k
wak	ʔ u w a k
wayawaya	w a j a w a j a
wenno	w e n n o
wenno	w ɯ n n o
ya	j a ʔ
yenna	j e n n a
yoyo	j o j o
